dataset,variant,seed,condition,group,abs_error,abs_truth,count,nmae,nrmse,sq_error,sq_truth
geant,spin_direct,41002,unequal,internal,4676.571980340278,31080.271226978726,332680,0.1504675408456814,0.20810512223243147,2564.5999090804376,59218.04731909688
geant,context_only,41001,unequal,internal,4820.547040842562,31080.271226978726,332680,0.15509990262434273,0.21429247122700734,2719.3675385857496,59218.04731909688
geant,context_only,41002,unequal,internal,4901.076241470726,31080.271226978726,332680,0.1576909096345474,0.21746295716862912,2800.42961444502,59218.04731909688
geant,direct_only,41001,unequal,internal,4812.972502035305,31080.271226978726,332680,0.15485619372129167,0.20967083956469296,2603.3355627876876,59218.04731909688
geant,direct_only,41002,unequal,internal,4991.158370185958,31080.271226978726,332680,0.1605892797310425,0.21275038647372618,2680.370306003781,59218.04731909688
geant,spin_direct,41001,unequal,sparse,4815.783387129964,24279.30479936211,265650,0.19834931135493172,0.278742038143212,3629.214487747464,46709.766191226234
geant,spin_direct,41002,unequal,sparse,4797.373202645962,24279.30479936211,265650,0.19759104481327666,0.2833060281994087,3749.0335292044842,46709.766191226234
geant,context_only,41001,unequal,sparse,4856.362254655313,24279.30479936211,265650,0.2000206469990403,0.27951091055765726,3649.263500805312,46709.766191226234
geant,context_only,41002,unequal,sparse,4897.126754133584,24279.30479936211,265650,0.2016996283296483,0.28297396460699126,3740.250179520949,46709.766191226234
geant,direct_only,41001,unequal,sparse,4966.048712620152,24279.30479936211,265650,0.20453834051914968,0.27570129227663814,3550.465499632051,46709.766191226234
geant,direct_only,41002,unequal,sparse,5103.590716715154,24279.30479936211,265650,0.21020332990956314,0.2788999258148686,3633.327039363784,46709.766191226234
geant,spin_direct,41001,unequal_gap,boundary,2762.481811204496,12626.644044821036,132511,0.21878195040570259,0.29515106668258595,2104.9269645801114,24162.858873040335
geant,spin_direct,41002,unequal_gap,boundary,2765.3739595245543,12626.644044821036,132511,0.2190110016333916,0.30428528293015994,2237.227828855439,24162.858873040335
geant,context_only,41001,unequal_gap,boundary,2740.5909265182236,12626.644044821036,132511,0.21704824471093795,0.2893800502384576,2023.4174579344776,24162.858873040335
geant,context_only,41002,unequal_gap,boundary,2747.9760988321896,12626.644044821036,132511,0.21763313268970338,0.2907971934646295,2043.2840215850288,24162.858873040335
geant,direct_only,41001,unequal_gap,boundary,2861.192137457794,12626.644044821036,132511,0.22659957208751325,0.28916822537620046,2020.456277620594,24162.858873040335
geant,direct_only,41002,unequal_gap,boundary,2900.5167824964983,12626.644044821036,132511,0.22971398989315603,0.2927628673123205,2071.0009651667647,24162.858873040335
geant,spin_direct,41001,unequal_gap,dense,2622.6986864977866,18823.47228667052,196350,0.13933129055870316,0.17355760221419306,1055.0477972922527,35025.54100350757
geant,spin_direct,41002,unequal_gap,dense,2602.0172845102256,18823.47228667052,196350,0.13823258774380295,0.1731589806133736,1050.2069621281605,35025.54100350757
geant,context_only,41001,unequal_gap,dense,2677.2938205326627,18823.47228667052,196350,0.14223166585627972,0.17746573112595113,1103.0973908963394,35025.54100350757
geant,context_only,41002,unequal_gap,dense,2725.2071447076287,18823.47228667052,196350,0.14477706892778924,0.17912181147356712,1123.7812905724327,35025.54100350757
geant,direct_only,41001,unequal_gap,dense,2660.1303053968654,18823.47228667052,196350,0.1413198513475426,0.17679584513390723,1094.7853092755217,35025.54100350757
geant,direct_only,41002,unequal_gap,dense,2742.832275153221,18823.47228667052,196350,0.1457134068242821,0.17831739055978751,1113.7103417943956,35025.54100350757
geant,spin_direct,41001,unequal_gap,internal,4659.8073532039125,30467.49850606326,329489,0.1529435490831837,0.20741953187025666,2475.4063323471582,57536.99790512117
geant,spin_direct,41002,unequal_gap,internal,4632.004249755842,30467.49850606326,329489,0.1520309994873402,0.20833430464974367,2497.2888202266677,57536.99790512117
geant,context_only,41001,unequal_gap,internal,4788.435078645276,30467.49850606326,329489,0.15716535040421326,0.21450987834871155,2647.5354944356573,57536.99790512117
geant,context_only,41002,unequal_gap,internal,4874.908524874683,30467.49850606326,329489,0.16000356983375383,0.21861653235054446,2749.8765703192475,57536.99790512117
geant,direct_only,41001,unequal_gap,internal,4775.818871833415,30467.49850606326,329489,0.15675126301829442,0.20988267593136228,2534.5472002385995,57536.99790512117
geant,direct_only,41002,unequal_gap,internal,4972.128111253128,30467.49850606326,329489,0.16319449758120566,0.2136889023445503,2627.30888503019,57536.99790512117
geant,spin_direct,41001,unequal_gap,outside_shared_gap,6467.669782691861,37800.50380828761,404250,0.17110009473666987,0.24087039315805234,4178.654470630497,72022.73647146233
geant,spin_direct,41002,unequal_gap,outside_shared_gap,6433.886958918544,37800.50380828761,404250,0.17020638115166972,0.24360139356355193,4273.947223599951,72022.73647146233
geant,context_only,41001,unequal_gap,outside_shared_gap,6561.30795939364,37800.50380828761,404250,0.17357726216218047,0.24449404707830305,4305.327537847935,72022.73647146233
geant,context_only,41002,unequal_gap,outside_shared_gap,6642.766541271282,37800.50380828761,404250,0.17573222237886899,0.2473012164398363,4404.758713647095,72022.73647146233
geant,direct_only,41001,unequal_gap,outside_shared_gap,6644.917781860977,37800.50380828761,404250,0.1757891327470642,0.24108727344572228,4186.1827996595175,72022.73647146233
geant,direct_only,41002,unequal_gap,outside_shared_gap,6841.02826411643,37800.50380828761,404250,0.18097717159570137,0.2444911585530471,4305.225809613524,72022.73647146233
geant,spin_direct,41001,unequal_gap,shared_gap,954.6193817165462,5293.63874259668,57750,0.18033330722683172,0.2037353546120842,401.67882629677325,9677.120306699177
geant,spin_direct,41002,unequal_gap,shared_gap,963.4912503618535,5293.63874259668,57750,0.18200925624351044,0.2181596770446259,460.5694254821554,9677.120306699177
geant,context_only,41001,unequal_gap,shared_gap,967.7180457698602,5293.63874259668,57750,0.18280772316079263,0.19437710866763722,365.6254145221999,9677.120306699177
geant,context_only,41002,unequal_gap,shared_gap,980.1180824355896,5293.63874259668,57750,0.18515016420535224,0.20033996362341266,388.4018782571796,9677.120306699177
geant,direct_only,41001,unequal_gap,shared_gap,992.0932274302312,5293.63874259668,57750,0.1874123406735499,0.19522460865371732,368.82067819967637,9677.120306699177
geant,direct_only,41002,unequal_gap,shared_gap,1031.6166296331967,5293.63874259668,57750,0.19487854759185164,0.20154388955364025,393.084040583431,9677.120306699177
geant,spin_direct,41001,unequal_gap,sparse,4799.590477910622,24270.670264213783,265650,0.19775269597673384,0.27482622171757476,3525.2854996350175,46674.31577465393
geant,spin_direct,41002,unequal_gap,sparse,4795.3609247701725,24270.670264213783,265650,0.19757842995546593,0.2809564999142013,3684.309686953945,46674.31577465393
geant,context_only,41001,unequal_gap,sparse,4851.732184630838,24270.670264213783,265650,0.19990103824139294,0.2764805929140905,3567.855561473795,46674.31577465393
geant,context_only,41002,unequal_gap,sparse,4897.677478999244,24270.670264213783,265650,0.20179407596421806,0.2803866445488407,3669.379301331842,46674.31577465393
geant,direct_only,41001,unequal_gap,sparse,4976.880703894343,24270.670264213783,265650,0.20505740672652836,0.27227813113423455,3460.2181685836713,46674.31577465393
geant,direct_only,41002,unequal_gap,sparse,5129.8126185964065,24270.670264213783,265650,0.2113585064916863,0.2771285952766289,3584.5995084025594,46674.31577465393
